candidate_id,insurer,product,uin,policy_version,rule_type,rule_name,condition,value,unit,applies_to,exception,source_document,source_page,source_section,source_text,extraction_method,confidence,review_status,provenance
SA26-011,Star Health and Allied Insurance Co Ltd,Star Health Assure Insurance Policy,SHAHLIP26048V032526,star_assure_2026_v1,CLAIM_FILING_DEADLINE,Reimbursement filing deadline - post-hospitalization,After completion of max post-hospitalization days applicable under product,15,DAYS,Reimbursement of post-hospitalization expenses,NOT_SPECIFIED_IN_SOURCE,STAR_ASSURE_2026_CIS,15,Section D(2) & E table,"Reimbursement of Post hospitalization: Within 15 days after completion of maximum number of Post hospitalization number of days applicable under the product.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
SA26-012,Star Health and Allied Insurance Co Ltd,Star Health Assure Insurance Policy,SHAHLIP26048V032526,star_assure_2026_v1,CLAIM_NOTIFICATION_DEADLINE,Emergency hospitalization notification,From date/time of Hospitalization,24,HOURS,Emergency hospitalization (cashless/reimbursement),NOT_SPECIFIED_IN_SOURCE,STAR_ASSURE_2026_CIS,13,Section D(2) & E,"Emergency Hospitalization (Cashless / Reimbursement): Within 24 hours of date and time of Hospitalization if the Insured Person has been hospitalized in an Emergency.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
SA26-013,Star Health and Allied Insurance Co Ltd,Star Health Assure Insurance Policy,SHAHLIP26048V032526,star_assure_2026_v1,PREAUTH_REQUIREMENT,Planned hospitalization notification,Before proposed treatment or hospitalization date/time,48,HOURS,Planned hospitalization (cashless/reimbursement),Whichever is earlier of proposed treatment time or hospitalization time,STAR_ASSURE_2026_CIS,13,Section D(2) & E,"Planned Hospitalization (Cashless / Reimbursement): At least 48 hours prior to the proposed treatment or date and time of Hospitalization whichever is earlier.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
SA26-014,Star Health and Allied Insurance Co Ltd,Star Health Assure Insurance Policy,SHAHLIP26048V032526,star_assure_2026_v1,EXCLUSION,Cosmetic or plastic surgery exclusion,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,All claims,"Reconstruction following Accident, Burn(s) or Cancer, or medically necessary to remove direct/immediate health risk, certified by attending Medical Practitioner",STAR_ASSURE_2026_CIS,6,Excl 08,"Cosmetic or plastic Surgery Excl 08",LLM_EXTRACTION_FROM_FETCHED_TEXT,MEDIUM,PENDING,INSURER_DOCUMENT
SA26-015,Star Health and Allied Insurance Co Ltd,Star Health Assure Insurance Policy,SHAHLIP26048V032526,star_assure_2026_v1,EXCLUSION,Refractive error exclusion,Refractive error less than 7.5 dioptres,NOT_APPLICABLE,NOT_APPLICABLE,All claims,NOT_SPECIFIED_IN_SOURCE,STAR_ASSURE_2026_CIS,5,Excl 15,"Refractive Error Excl 15",LLM_EXTRACTION_FROM_FETCHED_TEXT,MEDIUM,PENDING,INSURER_DOCUMENT
SA26-016,Star Health and Allied Insurance Co Ltd,Star Health Assure Insurance Policy,SHAHLIP26048V032526,star_assure_2026_v1,NON_COVERED_TREATMENT,Alcoholism/substance abuse exclusion,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,All claims,NOT_SPECIFIED_IN_SOURCE,STAR_ASSURE_2026_CIS,5,Excl 12,"Treatment for Alcoholism, drug or substance abuse or any addictive condition and consequences thereof Excl 12",LLM_EXTRACTION_FROM_FETCHED_TEXT,MEDIUM,PENDING,INSURER_DOCUMENT
SA26-017,Star Health and Allied Insurance Co Ltd,Star Health Assure Insurance Policy,SHAHLIP26048V032526,star_assure_2026_v1,POLICY_VERSION_RULE,Moratorium period,After completion of continuous coverage (incl. portability/migration),60,MONTHS,Non-disclosure/misrepresentation contestability,Except on grounds of established fraud,STAR_ASSURE_2026_CIS,19,D(11),"Moratorium Period: After completion of sixty continuous months of coverage (including portability and migration) in health insurance policy, no policy and claim shall be contestable by the insurer on grounds of non-disclosure, misrepresentation, except on grounds of established fraud.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
SA26-018,Star Health and Allied Insurance Co Ltd,Star Health Assure Insurance Policy,SHAHLIP26048V032526,star_assure_2026_v1,POLICY_VERSION_RULE,Free look period,From date of receipt of policy document,30,DAYS,New individual policies with term of one year or more,Not applicable to renewals or porting/migrating,STAR_ASSURE_2026_CIS,17,D(14),"The Policyholder shall be allowed free look period of thirty days from date of receipt of the policy document whether electronically or otherwise to review the terms and conditions of the policy.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
SA26-019,Star Health and Allied Insurance Co Ltd,Star Health Assure Insurance Policy,SHAHLIP26048V032526,star_assure_2026_v1,POLICY_VERSION_RULE,Portability lead time,Before policy renewal date,30 to 60,DAYS,Policyholder porting to another insurer,Per IRDAI guidelines related to portability,STAR_ASSURE_2026_CIS,18,D(8),"The Policyholder has the choice to port his / her policy from one Insurer to another by applying to such Insurer to port the entire policy along with all the members of the family, if any, at least 30 days before, but not earlier than 60 days from the policy renewal date as per IRDAI guidelines related to portability.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
SA26-020,Star Health and Allied Insurance Co Ltd,Star Health Assure Insurance Policy,SHAHLIP26048V032526,star_assure_2026_v1,PREAUTH_REQUIREMENT,Cashless preauthorization TAT,From receipt of all necessary documents,1,HOUR,Cashless facility preauthorization,NOT_SPECIFIED_IN_SOURCE,STAR_ASSURE_2026_CIS,15,Turn Around Time section,"TAT for preauthorization of cashless facility: Within 1 hour from the time of receipt of all necessary relevant documents.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
HDFC26-001,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP26058V082526,hdfc_optima_secure_2026_v1,PED_WAITING_PERIOD,PED waiting period,From date of inception of first policy with insurer,36,MONTHS,Pre-existing disease and direct complications; unless specified otherwise in Policy Schedule,Reduced to extent of prior coverage if continuously covered per IRDAI portability/migration norms,HDFC_OPTIMA_SECURE_2026_POLICY_WORDING,30,Section C.1.a / Excl01,"Expenses related to the treatment of a pre-existing disease (PED) and its direct complications shall be excluded until the expiry of 36 months (Unless specified otherwise in the Policy Schedule) of continuous coverage after the date of inception of the first policy with insurer.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,NEEDS_REVIEW,INSURER_DOCUMENT
HDFC26-002,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP26058V082526,hdfc_optima_secure_2026_v1,SPECIFIED_DISEASE_WAITING_PERIOD,Specified disease/procedure waiting period,From date of inception of first Policy with insurer,24,MONTHS,"Listed illnesses/surgical procedures incl. Hernia, Cataract, Joint replacement etc. per Excl02 list",Not applicable for claims arising due to accident,HDFC_OPTIMA_SECURE_2026_POLICY_WORDING,31,Section C.1.b / Excl02,"Expenses related to the treatment of the listed Conditions, surgeries/treatments shall be excluded until the expiry of 24 months of continuous coverage after the date of inception of the first Policy with us.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,NEEDS_REVIEW,INSURER_DOCUMENT
HDFC26-003,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP26058V082526,hdfc_optima_secure_2026_v1,INITIAL_WAITING_PERIOD,30-day initial waiting period,From first Policy commencement date,30,DAYS,All illnesses,Not applicable for claims arising due to accident; does not apply if continuous coverage for more than 12 months,HDFC_OPTIMA_SECURE_2026_POLICY_WORDING,32,Section C.1.c / Excl03,"Expenses related to the treatment of any illness within 30 days from the first Policy commencement date shall be excluded except claims arising due to an accident.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,NEEDS_REVIEW,INSURER_DOCUMENT
HDFC26-004,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP26058V082526,hdfc_optima_secure_2026_v1,ROOM_RENT_LIMIT,Base room rent,Default unless modified,At Actuals,UNIT_NOT_APPLICABLE,Room rent boarding nursing expenses,"Modifiable via optional cover 2.13 to 1% of Base SI/day (with 2% ICU), Single Private Room, or Shared Room, depending on plan",HDFC_OPTIMA_SECURE_2026_POLICY_WORDING,11,Section B.1.1.a,"Room Rent, boarding, nursing expenses as provided by the Hospital / Nursing Home. Room rent limit shall be 'At Actuals' unless otherwise specified in the Policy Schedule.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,NEEDS_REVIEW,INSURER_DOCUMENT
HDFC26-005,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP26058V082526,hdfc_optima_secure_2026_v1,SUB_LIMIT,"Preventive Health Check-up (Individual, 5-7.5L SI)",Per Policy Year,1500,RS,Preventive Health Check-up renewal benefit,Only if benefit chosen/applicable per plan,HDFC_OPTIMA_SECURE_2026_POLICY_WORDING,30,Section B.3,"Individual Policies per Policy Year limits by Base Sum Insured: 5&7.5 Lacs->Rs.1,500",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,NEEDS_REVIEW,INSURER_DOCUMENT
HDFC26-006,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP26058V082526,hdfc_optima_secure_2026_v1,DEDUCTIBLE,Global plan per-claim deductible,Per claim outside India under Global Health Cover,10000,RS,Global Health Cover Emergency Only / Emergency & Planned,Aggregate Deductible not applicable to these covers instead,HDFC_OPTIMA_SECURE_2026_CIS,9,Section B.2.9 / B.2.10,"Per Claim Deductible (Applicable for each and every claim arising out of India in Global plans): INR 10,000 per claim",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,NEEDS_REVIEW,INSURER_DOCUMENT
HDFC26-007,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP26058V082526,hdfc_optima_secure_2026_v1,PREAUTH_REQUIREMENT,Cashless preauthorization TAT,From receipt of request,1,HOUR,Cashless facility preauthorization (India),NOT_SPECIFIED_IN_SOURCE,HDFC_OPTIMA_SECURE_2026_CIS,9,Section 9 / E.1,"TAT for preauthorization of cashless facility: Decision on cashless authorization to be provided within 1 hour from the time of receipt of request.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,NEEDS_REVIEW,INSURER_DOCUMENT
HDFC26-008,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP26058V082526,hdfc_optima_secure_2026_v1,CLAIM_FILING_DEADLINE,Reimbursement claim settlement TAT,From claim intimation,15,DAYS,Reimbursement Process (India),NOT_SPECIFIED_IN_SOURCE,HDFC_OPTIMA_SECURE_2026_CIS,9,Section D.1.3,"TAT for Claim settlement – Within 15 days of claim intimation.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,NEEDS_REVIEW,INSURER_DOCUMENT
HDFC26-009,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP26058V082526,hdfc_optima_secure_2026_v1,POLICY_VERSION_RULE,Claim settlement penal interest TAT,From date of receipt of intimation of claims,15,DAYS,Non-cashless claim settlement,Delay -> interest at 2% above Bank Rate,HDFC_OPTIMA_SECURE_2026_POLICY_WORDING,36,Section D.1.3,"The Company shall (other than cashless), within 15 days from the date of receipt of intimation of claims... In the case of delay in the payment of a claim, the Company shall be liable to pay interest to the Policyholder... at a rate 2% above the bank rate.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,NEEDS_REVIEW,INSURER_DOCUMENT
HDFC26-010,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP26058V082526,hdfc_optima_secure_2026_v1,POLICY_VERSION_RULE,Moratorium period,After completion of continuous coverage (incl. portability/migration),60,MONTHS,Non-disclosure/misrepresentation contestability,Except on grounds of established fraud,HDFC_OPTIMA_SECURE_2026_POLICY_WORDING,37,Section D.1.6,"After completion of sixty continuous months of coverage (including portability and migration) in health insurance policy, no policy and claim shall be contestable by the insurer on grounds of non-disclosure, misrepresentation, except on grounds of established fraud.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,NEEDS_REVIEW,INSURER_DOCUMENT
HDFC26-011,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP26058V082526,hdfc_optima_secure_2026_v1,POLICY_VERSION_RULE,Free look period,From date of receipt of policy document,30,DAYS,New individual health insurance policies,Not applicable on renewals or porting/migrating,HDFC_OPTIMA_SECURE_2026_POLICY_WORDING,37,Section D.1.8,"The insured person shall be allowed free look period of thirty days from date of receipt of the policy document to review the terms and conditions of the policy, and to return the same if not acceptable.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,NEEDS_REVIEW,INSURER_DOCUMENT
HDFC26-012,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP26058V082526,hdfc_optima_secure_2026_v1,POLICY_VERSION_RULE,Portability lead time,Before policy renewal date,30 to 60,DAYS,Policyholder porting to another insurer,Per IRDAI guidelines related to Portability,HDFC_OPTIMA_SECURE_2026_POLICY_WORDING,38,Section D.1.10,"The Insured Person will have the option to port the Policy to other insurers by applying to such Insurer to port the entire policy along with all the members of the family, if any, at least 30 days before, but not earlier than 60 days from the policy renewal date as per IRDAI guidelines related to Portability.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,NEEDS_REVIEW,INSURER_DOCUMENT
HDFC26-013,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP26058V082526,hdfc_optima_secure_2026_v1,POLICY_INACTIVE,Policyholder cancellation notice,Policyholder-initiated,7,DAYS,Cancellation with pro-rata refund of unexpired premium,Instalment-premium policies: future instalments adjusted against claim amount instead of refund,HDFC_OPTIMA_SECURE_2026_POLICY_WORDING,39,Section D.1.12,"The Policyholder may cancel this Policy by giving 7 days' written notice and in such an event, the Company shall refund to the Insured a pro-rata premium for the unexpired Policy Period.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,NEEDS_REVIEW,INSURER_DOCUMENT
HDFC26-014,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP26058V082526,hdfc_optima_secure_2026_v1,EXCLUSION,Sterility and infertility exclusion,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,All claims,NOT_SPECIFIED_IN_SOURCE,HDFC_OPTIMA_SECURE_2026_POLICY_WORDING,34,Section C.2.n / Excl17,"Sterility and Infertility: Code – Excl17: Expenses related to sterility and infertility. This includes: Any type of contraception, sterilization; Assisted Reproduction services including artificial insemination and advanced reproductive technologies such as IVF, ZIFT, GIFT, ICSI; Gestational Surrogacy; Reversal of sterilization.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,NEEDS_REVIEW,INSURER_DOCUMENT
HDFC26-015,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP26058V082526,hdfc_optima_secure_2026_v1,NON_COVERED_TREATMENT,Outpatient treatment exclusion,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,All claims,NOT_SPECIFIED_IN_SOURCE,HDFC_OPTIMA_SECURE_2026_POLICY_WORDING,34,Section C.3.l,"Treatment taken on outpatient basis.",LLM_EXTRACTION_FROM_FETCHED_TEXT,MEDIUM,NEEDS_REVIEW,INSURER_DOCUMENT
HDFC26-016,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP26058V082526,hdfc_optima_secure_2026_v1,GRACE_PERIOD,Instalment premium grace period - monthly,From due date of monthly instalment,15,DAYS,Monthly instalment premium option,NOT_SPECIFIED_IN_SOURCE,HDFC_OPTIMA_SECURE_2026_POLICY_WORDING,39,Section D.1.13,"Option 4 Monthly 15 Days",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,NEEDS_REVIEW,INSURER_DOCUMENT
HDFC26-017,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP26058V082526,hdfc_optima_secure_2026_v1,POLICY_EXPIRED,Product withdrawal notice,Prior to expiry of the policy,90,DAYS,Product withdrawal intimation to Insured Person,NOT_SPECIFIED_IN_SOURCE,HDFC_OPTIMA_SECURE_2026_POLICY_WORDING,40,Section D.1.15,"In the likelihood of this product being withdrawn in future, the Company will intimate the Insured Person about the same 90 days prior to expiry of the policy.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,NEEDS_REVIEW,INSURER_DOCUMENT
HDFC21-001,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP21016V012122,hdfc_optima_secure_2021_v1,PED_WAITING_PERIOD,PED waiting period (2021),From date of inception of first policy with insurer,36,MONTHS,Pre-existing disease and direct complications,Reduced to extent of prior coverage if continuously covered per IRDAI portability norms,HDFC_OPTIMA_SECURE_2021_HISTORICAL,12,Section C.1.a / Excl01,"Expenses related to the treatment of a pre-existing disease (PED) and its direct complications shall be excluded until the expiry of 36 months of continuous coverage after the date of inception of the first policy with insurer.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
HDFC21-002,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP21016V012122,hdfc_optima_secure_2021_v1,SPECIFIED_DISEASE_WAITING_PERIOD,Specified disease/procedure waiting period (2021),From date of inception of first Policy,24,MONTHS,"Listed illnesses/surgical procedures incl. Internal Congenital diseases (2021-specific list item)",Not applicable for claims arising due to accident,HDFC_OPTIMA_SECURE_2021_HISTORICAL,12,Section C.1.b / Excl02,"Expenses related to the treatment of the listed Conditions, surgeries/treatmentsshall be excluded until the expiry of 24 months of continuous coverage after the date of inception of the first Policy with us.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
HDFC21-003,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP21016V012122,hdfc_optima_secure_2021_v1,INITIAL_WAITING_PERIOD,30-day initial waiting period (2021),From first Policy commencement date,30,DAYS,All illnesses,Not applicable for claims arising due to accident; does not apply if continuous coverage for more than 12 months,HDFC_OPTIMA_SECURE_2021_HISTORICAL,13,Section C.1.c / Excl03,"Expenses related to the treatment of any illness within 30 days from the first Policy commencement date shall be excluded except claims arising due to an accident, provided the same are covered.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
HDFC21-004,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP21016V012122,hdfc_optima_secure_2021_v1,POLICY_VERSION_RULE,Moratorium period (2021 - pre-2020-regime figure),After completion of years under the policy,8,YEARS,Non-contestability of claim/policy (look-back),NOT_SPECIFIED_IN_SOURCE,HDFC_OPTIMA_SECURE_2021_HISTORICAL,15,Section D.1.6,"After completion of eight continuous years under the policy, no look back to be applied. This period of eight years is called as Moratorium Period.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
HDFC21-005,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP21016V012122,hdfc_optima_secure_2021_v1,POLICY_VERSION_RULE,Free look period (2021 - pre-Oct-2024-regime figure),From date of receipt of policy document,15,DAYS,New individual health insurance policies,Not applicable on renewals or porting/migrating,HDFC_OPTIMA_SECURE_2021_HISTORICAL,16,Section D.1.8,"The insured person shall be allowed free look period of fifteen days from date of receipt of the policy document to review the terms and conditions of the policy, and to return the same if not acceptable.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
HDFC21-006,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP21016V012122,hdfc_optima_secure_2021_v1,POLICY_VERSION_RULE,Portability lead time (2021 - pre-shortened-regime figure),Before policy renewal date,45 to 60,DAYS,Policyholder porting to another insurer,Per IRDAI guidelines related to Portability,HDFC_OPTIMA_SECURE_2021_HISTORICAL,16,Section D.1.10,"The Insured Person will have the option to port the Policy to other insurers by applying to such Insurer to port the entire policy along with all the members of the family, if any, at least 45 days before, but not earlier than 60 days from the policy renewal date as per IRDAI guidelines related to Portability.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
HDFC21-007,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP21016V012122,hdfc_optima_secure_2021_v1,CLAIM_FILING_DEADLINE,Reimbursement filing deadline - hospitalization (2021),From date of discharge from Hospital,30,DAYS,Reimbursement of Hospitalization/Day Care/Pre-Hospitalization Expenses,NOT_SPECIFIED_IN_SOURCE,HDFC_OPTIMA_SECURE_2021_HISTORICAL,20,Section E.1.5,"Reimbursement of Hospitalization, Day Care Treatment or Pre-Hospitalization Expenses: Within 30 days of date of discharge from Hospital.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
HDFC21-008,HDFC ERGO General Insurance Company Limited,my:Optima Secure,HDFHLIP21016V012122,hdfc_optima_secure_2021_v1,CLAIM_FILING_DEADLINE,Reimbursement filing deadline - post-hospitalization (2021),From completion of post-hospitalization treatment,15,DAYS,Reimbursement of Post-Hospitalization Expenses,NOT_SPECIFIED_IN_SOURCE,HDFC_OPTIMA_SECURE_2021_HISTORICAL,20,Section E.1.5,"Reimbursement of Post-Hospitalization Expenses: Within 15 days from completion of post Hospitalization treatment.",LLM_EXTRACTION_FROM_FETCHED_TEXT,HIGH,PENDING,INSURER_DOCUMENT
